dwelling_id;trans_date;trans_dwelling_rooms;trans_dwelling_floor_area;trans_dwelling_storey;trans_dwelling_spaces;trans_dwelling_spaces_floor_area;trans_dwelling_price;trans_dwelling_price_m2;lon;lat;pzn_precinct;pzn_district
09002_04829;2008-01-05;4;70.6;2;1;16.9;649000;9192.63;16.9437499;52.4315579;Nowe Winogrady Poludnie;Nowe Miasto
10209_01473;2008-01-07;5;81.1;2;1;2.6;410000;5055.49;16.9093258;52.457341;Piatkowo;Nowe Miasto
03447_01994;2008-01-07;2;36.1;1;1;8.9;240000;6648.2;16.8481565;52.3961285;Junikowo;Grunwald
05300_02601;2008-01-08;2;36.6;;;;165000;4508.2;16.882468;52.408882;Grunwald Polnoc;Grunwald
01781_02727;2008-01-08;3;55.5;2;2;5.95;101790;1834.05;16.9063803;52.4109956;Jezyce;Jezyce
04241_05149;2008-01-08;1;40;3;;;200000;5000;16.8984436;52.398693;Sw. Lazarz;Grunwald
09874_05170;2008-01-08;1;31.9;2;1;4;240000;7523.51;16.9027332;52.457388;Piatkowo;Nowe Miasto
12029_09638;2008-01-08;5;125.4;;1;6;475000;3787.88;16.919346;52.395308;Wilda;Wilda
05470_02495;2008-01-09;2;24.3;;;;80000;3292.18;16.892253;52.40481;Sw. Lazarz;Grunwald
01994_02734;2008-01-09;4;96.86;6;1;3.8;600000;6194.51;16.9063803;52.4109956;Jezyce;Jezyce
12256_10664;2008-01-10;2;100.31;3;;;660000;6579.6;16.9863359;52.393916;Chartowo;Stare Miasto
