id_gosp;id_osoba;woj;klm;plec;internet;wyksz;nauka_lata;czy_praca;czy_pelny_etat;czy_rej_pup;dzieci;wiek
1880;2;20;4;1;1;11;18;1;1;2;0;40
1880;3;20;4;1;1;40;12;2;0;2;0;20
1880;1;20;4;2;1;11;19;2;0;2;0;41
1901;1;22;6;1;1;30;13;2;0;1;1;56
1901;2;22;6;2;1;30;13;1;1;2;1;49
1901;4;22;6;2;1;40;12;2;0;2;0;22
1909;1;22;6;1;2;60;8;2;0;1;0;48
1922;1;22;6;1;2;50;11;1;1;2;0;59
1922;7;22;6;1;1;51;11;2;0;2;0;20
1922;9;22;6;1;2;30;12;1;1;2;1;26
1922;2;22;6;2;2;30;13;1;2;2;1;58
1923;1;22;6;1;1;50;11;1;1;2;1;55
1923;5;22;6;1;1;51;8;2;0;2;0;17
1925;1;22;4;1;2;50;11;2;0;2;1;55
1925;2;22;4;2;1;30;12;1;1;2;1;54
1931;2;22;6;1;1;50;11;1;1;2;0;46
1947;1;22;6;1;1;50;11;1;1;2;1;51
1947;4;22;6;2;1;40;12;1;1;2;1;22
1947;5;22;6;2;1;40;12;2;0;2;0;21
1947;6;22;6;2;1;51;9;2;0;2;0;19
1947;8;22;6;1;1;50;10;1;1;2;0;26
1948;3;22;6;1;1;50;11;1;1;2;0;41
1948;4;22;6;1;1;51;9;2;0;2;0;17
1948;2;22;6;2;1;40;12;1;1;2;0;38
1949;2;22;6;2;1;40;12;1;1;2;1;40
1954;1;22;6;1;1;50;11;1;1;2;0;50
1954;2;22;6;2;1;50;11;2;0;2;1;46
1955;1;22;6;2;1;30;12;1;1;2;0;56
1956;1;22;6;1;2;50;10;1;1;2;0;64
1956;5;22;6;1;1;40;14;1;1;2;1;32
1956;8;22;6;2;1;12;15;1;1;2;1;29
1973;1;22;5;1;1;40;15;1;1;2;0;60
1973;4;22;5;2;1;11;18;1;1;2;0;28
1977;1;22;6;1;1;50;11;1;2;2;0;46
1977;3;22;6;1;1;51;9;1;1;2;1;25
1977;2;22;6;2;2;50;11;2;0;2;0;49
1978;1;22;6;1;1;50;11;1;1;2;0;52
1978;2;22;6;2;1;60;9;1;1;2;1;46
1979;1;22;4;1;1;40;16;1;1;2;1;63
1983;1;22;4;2;1;12;15;1;1;2;0;56
1990;1;22;5;1;1;50;11;1;1;2;0;59
1991;1;22;4;2;1;40;12;1;1;2;0;35
1993;1;22;5;1;2;20;16;2;0;2;0;58
1993;2;22;5;2;1;30;12;1;1;2;0;50
1994;1;22;5;1;2;30;12;1;1;2;0;53
1994;3;22;5;1;1;50;12;1;1;2;0;24
1994;4;22;5;1;1;60;10;1;2;2;0;19
1994;2;22;5;2;1;30;14;1;1;2;1;46
1995;4;22;6;1;1;30;14;1;1;2;0;33
1995;2;22;6;2;1;30;14;2;0;2;0;57
1996;3;22;6;1;2;50;11;1;1;2;0;32
1996;5;22;6;1;1;50;11;1;1;2;0;28
1996;6;22;6;1;1;60;10;1;2;2;0;17
1996;2;22;6;2;1;60;8;1;1;2;1;54
2001;2;22;4;2;2;60;8;1;2;2;1;49
2001;3;22;4;2;1;51;9;2;0;2;1;26
2001;4;22;4;2;1;40;15;2;0;2;0;23
2001;5;22;4;2;1;40;14;2;0;2;0;22
2003;4;22;4;2;1;40;13;1;1;2;0;29
2004;1;22;6;1;1;30;13;1;1;2;0;52
2004;2;22;6;2;1;30;13;2;0;2;1;50
2006;1;22;6;1;1;30;11;1;2;2;1;45
2006;2;22;6;2;1;40;12;1;1;2;1;41
2006;3;22;6;2;1;51;13;2;0;2;0;23
2007;1;22;6;1;1;50;11;2;0;2;0;46
2007;2;22;6;2;1;30;12;1;2;2;0;43
2007;3;22;6;2;1;51;13;2;0;2;0;20
2012;2;22;2;2;1;11;19;1;1;2;1;54
2021;2;22;2;2;1;11;17;1;1;2;1;46
2021;3;22;2;2;1;51;10;2;0;2;0;17
2042;1;22;2;1;1;30;13;1;1;2;0;63
2042;2;22;2;2;1;30;13;1;1;2;0;59
2049;1;22;2;1;2;60;7;1;2;2;0;64
2058;2;22;2;1;1;11;18;1;1;2;0;61
2058;1;22;2;2;1;11;18;1;1;2;0;57
2058;3;22;2;2;1;11;17;1;1;2;0;30
2058;4;22;2;1;1;50;11;1;1;2;0;31
2062;1;22;2;1;1;50;11;1;1;2;0;40
